Company,Region,Vertical,Funding Amount (USD),Funding Stage,Funding Date
Dataiku,United States,Artificial Intelligence,100000000,Series D,Aug-20
VertaAI,United States,Artificial Intelligence,10000000,Series A,Aug-20
WorkPatterns,United States,B2B Software,2800000,Seed,Aug-20
AgentSync,United States,B2B Software,4400000,Seed,Aug-20
BRIO,United States,B2B Software,1900000,Seed,Aug-20
Mode Analytics,United States,B2B Software,33000000,Series D,Aug-20
PandaDoc,United States,B2B Software,30000000,Series B,Aug-20
Yotpo,United States,B2B Software,75000000,Series E,Aug-20
Coda,United States,B2B Software,80000000,Series C,Aug-20
Compaas,United States,B2B Software,4250000,Seed,Aug-20
Fyllo,United States,B2B Software,10000000,Series A,Aug-20
Gong,United States,B2B Software,200000000,Series D,Aug-20
GoSite,United States,B2B Software,16000000,Series A,Aug-20
Oomnitza,United States,B2B Software,12500000,Series B,Aug-20
Parabola,United States,B2B Software,8000000,Series A,Aug-20
RevenueCat,United States,B2B Software,15000000,Series A,Aug-20
Simpplr,United States,B2B Software,10000000,Series B,Aug-20
Stream,United States,B2B Software,15000000,Series A,Aug-20
Bridge Connector,United States,B2B Software,25500000,Series B,Aug-20
Yalo,United States,B2B Software,15000000,Series B,Aug-20
CaliberMind,United States,B2B Software,2000000,Seed,Aug-20
SupportLogic,United States,B2B Software,9100000,Series A,Aug-20
Blanket,United States,B2B Software,800000,Seed,Aug-20
Chili Piper,United States,B2B Software,18000000,Series A,Aug-20
Reflective,United States,B2B Software,1300000,Seed,Aug-20
Stedi,United States,B2B Software,50000000,Unknown,Aug-20
Berbix,United States,B2B Software,9000000,Series A,Aug-20
ChartHop,United States,B2B Software,14000000,Series A,Aug-20
LaunchNotes,United States,B2B Software,1800000,Seed,Aug-20
MURAL,United States,B2B Software,118000000,Series B,Aug-20
Split,United States,B2B Software,33000000,Series C,Aug-20
Stratify Technologies,United States,B2B Software,4900000,Seed,Aug-20
Yac,United States,B2B Software,500000,Unknown,Aug-20
Synthego,United States,Biotechnology,100000000,Series D,Aug-20
BlockFi,United States,Blockchain,50000000,Series C,Aug-20
Restream,United States,Broadcasting,50000000,Series A,Aug-20
Craft,United States,Business Intelligence,10000000,Series A,Aug-20
Dutchie,United States,Cannabis,35000000,Series B,Aug-20
Frontline,United States,Cloud Computing,150000,Pre-Seed,Aug-20
Feather,United States,Consumer,30000000,Debt Financing,Aug-20
HyperQube,United States,Cyber Security,2500000,Seed,Aug-20
Censys,United States,Cyber Security,15500000,Series A,Aug-20
Clean Creative,United States,Cyber Security,5000000,Series A,Aug-20
Blumira,United States,Cyber Security,2600000,Seed,Aug-20
Elisity,United States,Cyber Security,7500000,Seed,Aug-20
Cyware Labs,United States,Cyber Security,10000000,Series A,Aug-20
SpyCloud,United States,Cyber Security,30000000,Series C,Aug-20
ReliaQuest,United States,Cyber Security,300000000,Private Equity,Aug-20
Merico,United States,Developer Tools,4100000,Seed,Aug-20
Mux,United States,Developer Tools,37000000,Series C,Aug-20
Qonversion,United States,Developer Tools,850000,Seed,Aug-20
WayScript,United States,Developer Tools,5000000,Seed,Aug-20
Pachyderm,United States,Developer Tools,16000000,Series B,Aug-20
Grafana Labs,United States,Developer Tools,50000000,Series B,Aug-20
ReturnLogic,United States,E-Commerce Software,2000000,Seed,Aug-20
Pattern,United States,E-Commerce Software,52000000,Series A,Aug-20
Narrativ,United States,E-Commerce Software,6000000,Seed,Aug-20
GoPeer,United States,Education,2000000,Seed,Aug-20
Skillshare,United States,Education,66000000,Series D,Aug-20
Lambda School,United States,Education,74000000,Series C,Aug-20
CleverX,United States,Education,250000,Seed,Aug-20
Juni Learning,United States,Education,10500000,Series A,Aug-20
Xos Trucks,United States,Electric Vehicles,20000000,Unknown,Aug-20
SiFive,United States,Electronics,61000000,Series E,Aug-20
Ceresa,United States,Employee Training,1000000,Seed,Aug-20
Orum.io,United States,FinTech,5200000,Seed,Aug-20
Axle,United States,FinTech,25000000,Debt Financing,Aug-20
SMBX,United States,FinTech,2500000,Seed,Aug-20
Trumid,United States,FinTech,200000000,Series E,Aug-20
Moov,United States,FinTech,5500000,Seed,Aug-20
Robinhood,United States,FinTech,200000000,Series G,Aug-20
CommonStock,United States,FinTech,9700000,Seed,Aug-20
Cross River,United States,FinTech,106000000,Debt Financing,Aug-20
Esusu,United States,FinTech,2300000,Seed,Aug-20
Finix,United States,FinTech,30000000,Series B,Aug-20
Machnet,United States,FinTech,40000,Seed,Aug-20
Atomo Coffee,United States,Food and Beverage,9000000,Seed,Aug-20
Impossible Foods,United States,Food and Beverage,200000000,Series G,Aug-20
Atari,United States,Gaming,4500000,Series A,Aug-20
ROOM,United States,Hardware,12500000,Series A,Aug-20
Eden Health,United States,Health Care,25000000,Series B,Aug-20
OneDrop,United States,Health Care,34700000,Series C,Aug-20
PatientPop,United States,Health Care,50000000,Series C,Aug-20
Minnow,United States,Hospitality,2200000,Seed,Aug-20
Rippling,United States,Human Resources,145000000,Series B,Aug-20
Carrot Fertility,United States,Human Resources,24000000,Series B,Aug-20
Flux,United States,Human Resources,3000000,Seed,Aug-20
HelloTeam,United States,Human Resources,3500000,Seed,Aug-20
Welcome,United States,Human Resources,1400000,Seed,Aug-20
Lyra Health,United States,Human Resources,110000000,Series D,Aug-20
Republic,United States,Investing,16000000,ICO,Aug-20
Sesh,United States,Neuroscience,1585000,Pre-Seed,Aug-20
TemperPack,United States,Packaging,31000000,Series C,Aug-20
Zibo,United States,Real Estate,10500000,Seed,Aug-20
ICON,United States,Real Estate,35000000,Series A,Aug-20
Joblist,United States,Recruiting,4000000,Seed,Aug-20
Candidate,United States,Recruiting,1000000,Seed,Aug-20
Turing,United States,Recruiting,6000000,Seed,Aug-20
XYZ Robotics,United States,Robotics,20000000,Series A,Aug-20
Leaf Agriculture,United States,Agriculture,2000000,Seed,Sep-20
Justpoint,United States,Artificial Intelligence,1035000,Seed,Sep-20
YesPlz,United States,Artificial Intelligence,1510000,Seed,Sep-20
WhyLabs,United States,Artificial Intelligence,4000000,Seed,Sep-20
Replicant,United States,Artificial Intelligence,27000000,Series A,Sep-20
Golden,United States,Artificial Intelligence,14500000,Series A,Sep-20
Legion,United States,Artificial Intelligence,22000000,Series B,Sep-20
Biofourmis,United States,Artificial Intelligence,100000000,Series C,Sep-20
Beyond Limits,United States,Artificial Intelligence,133000000,Series C,Sep-20
XtalPi,United States,Artificial Intelligence,318800000,Series C,Sep-20
Zymergen,United States,Artificial Intelligence,300000000,Series D,Sep-20
Camera IQ,United States,Augmented Reality,5000000,Series A,Sep-20
Pliant.io,United States,B2B Software,2600000,Pre-Seed,Sep-20
AppDirect,United States,B2B Software,185000000,Private Equity,Sep-20
Avo,United States,B2B Software,3000000,Seed,Sep-20
Plantt,United States,B2B Software,1000000,Seed,Sep-20
Ribbon,United States,B2B Software,1200000,Seed,Sep-20
Collective,United States,B2B Software,8650000,Seed,Sep-20
InCountry,United States,B2B Software,18000000,Series A,Sep-20
Reachdesk,United States,B2B Software,6000000,Series A,Sep-20
Shelf,United States,B2B Software,6000000,Series A,Sep-20
Air,United States,B2B Software,12000000,Series A,Sep-20
Courier,United States,B2B Software,10100000,Series A,Sep-20
Laika,United States,B2B Software,10000000,Series A,Sep-20
SquadStack,United States,B2B Software,5000000,Series A,Sep-20
Deel,United States,B2B Software,30000000,Series B,Sep-20
BrandTotal,United States,B2B Software,12000000,Series B,Sep-20
Coralogix,United States,B2B Software,25000000,Series B,Sep-20
Melio,United States,B2B Software,80000000,Series C,Sep-20
SpotOn,United States,B2B Software,60000000,Series C,Sep-20
Airtable,United States,B2B Software,185000000,Series D,Sep-20
Salsify,United States,B2B Software,155000000,Series E,Sep-20
Seismic,United States,B2B Software,92000000,Series F,Sep-20
Nutcracker Therapeutics,United States,Biotechnology,60000000,Series B,Sep-20
SKALE Labs,United States,Blockchain,5000000,ICO,Sep-20
Sia,United States,Blockchain,3000000,Seed,Sep-20
PureStake,United States,Blockchain,1400000,Seed,Sep-20
Fluree,United States,Blockchain,2500000,Seed,Sep-20
Data Gumbo,United States,Blockchain,4000000,Series B,Sep-20
JupiterOne,United States,Cloud Security,19000000,Series A,Sep-20
Silk and Sonder,United States,Consumer,3600000,Seed,Sep-20
POM,United States,Consumer,3000000,Series A,Sep-20
IRL,United States,Consumer,16000000,Series B,Sep-20
Tonal,United States,Consumer,110000000,Series D,Sep-20
Secberus,United States,Cyber Security,3240000,Seed,Sep-20
Cloudentity,United States,Cyber Security,13000000,Series A,Sep-20
Elevate Security,United States,Cyber Security,8250000,Series A,Sep-20
Devo,United States,Cyber Security,60000000,Series D,Sep-20
PopSQL,United States,Developer Tools,3400000,Seed,Sep-20
Ahana,United States,Developer Tools,2300000,Seed,Sep-20
Panther Labs,United States,Developer Tools,15000000,Series A,Sep-20
Transposit,United States,Developer Tools,35000000,Series B,Sep-20
Cube Dev,United States,Developer Tools,6200000,Seed,Sep-20
Easy Aerial,United States,Drones,6150000,Series A,Sep-20
Volansi,United States,Drones,50000000,Series B,Sep-20
Acquire App,United States,E-Commerce Platforms,1700000,Pre-Seed,Sep-20
Cartloop,United States,E-Commerce Platforms,350000,Pre-Seed,Sep-20
Homesome,United States,E-Commerce Platforms,6700000,Series A,Sep-20
ShipBob,United States,E-Commerce Platforms,68000000,Series D,Sep-20
SigmaSense,United States,Electronics,22000000,Series A,Sep-20
Nuvia,United States,Electronics,240000000,Series B,Sep-20
Finch,United States,FinTech,1800000,Seed,Sep-20
X1 Card,United States,FinTech,10000000,Series A,Sep-20
Alloy,United States,FinTech,40000000,Series B,Sep-20
Rally,United States,FinTech,17000000,Series B,Sep-20
MineralTree,United States,FinTech,50000000,Series D,Sep-20
Robinhood,United States,FinTech,460000000,Series G,Sep-20
optimize.health,United States,Health Care,15600000,Series A,Sep-20
PicnicHealth,United States,Health Care,25000000,Series B,Sep-20
Truepill,United States,Health Care,75000000,Series C,Sep-20
Willow,United States,Health Care,55000000,Series C,Sep-20
Sana Benefits,United States,Human Resources,20800000,Series A,Sep-20
Blueboard,United States,Human Resources,9300000,Series A,Sep-20
Papaya Global,United States,Human Resources,40000000,Series B,Sep-20
TradeLanes,United States,Logistics,4000000,Seed,Sep-20
Intelage,United States,Logistics,3500000,Seed,Sep-20
Sprinklr,United States,Marketing,200000000,Private Equity,Sep-20
Influ2,United States,Marketing,3400000,Seed,Sep-20
Attentive,United States,Marketing,230000000,Series D,Sep-20
The Pro's Closet,United States,Marketplace,12000000,Series A,Sep-20
Snappr,United States,Marketplace,10000000,Series A,Sep-20
Patreon,United States,Marketplace,90000000,Series E,Sep-20
SeeQC,United States,Quantum Computing,22400000,Series A,Sep-20
Orchard,United States,Real Estate,69000000,Series C,Sep-20
BrightHire,United States,Recruiting,3000000,Seed,Sep-20
Sarcos Robotics,United States,Robotics,40000000,Series C,Sep-20
Ouster,United States,Sensors,42000000,Series B,Sep-20
Zwift,United States,Wellness,450000000,Series C,Sep-20
Tilt Five,United States,3D Printing,7500000,Series A,Oct-20
Hermeus,United States,Aerospace,16000000,Series A,Oct-20
Zira,United States,Artificial Intelligence,3100000,Seed,Oct-20
DataChat,United States,Artificial Intelligence,4000000,Seed,Oct-20
Abridge,United States,Artificial Intelligence,10000000,Series A,Oct-20
Grid AI,United States,Artificial Intelligence,18600000,Series A,Oct-20
acceldata,United States,Artificial Intelligence,8500000,Series A,Oct-20
Capacity,United States,Artificial Intelligence,11000000,Series C,Oct-20
Dialpad,United States,Artificial Intelligence,100000000,Series E,Oct-20
Stark,United States,B2B Software,1500000,Pre-Seed,Oct-20
Doppler,United States,B2B Software,2300000,Seed,Oct-20
DigitalBrain,United States,B2B Software,3250000,Seed,Oct-20
Scratchpad,United States,B2B Software,3600000,Seed,Oct-20
Memberstack,United States,B2B Software,2000000,Seed,Oct-20
Vowel,United States,B2B Software,4300000,Seed,Oct-20
Index,United States,B2B Software,2600000,Seed,Oct-20
Jam,United States,B2B Software,3500000,Seed,Oct-20
Stir Money,United States,B2B Software,4000000,Seed,Oct-20
Hubilo,United States,B2B Software,4500000,Seed,Oct-20
Swit,United States,B2B Software,5000000,Seed,Oct-20
SINAI,United States,B2B Software,3800000,Seed,Oct-20
Userpilot,United States,B2B Software,1100000,Seed,Oct-20
Remotion,United States,B2B Software,10400000,Series A,Oct-20
Balto,United States,B2B Software,10000000,Series A,Oct-20
Sanity,United States,B2B Software,9300000,Series A,Oct-20
Vivun,United States,B2B Software,18000000,Series A,Oct-20
EveryoneSocial,United States,B2B Software,7600000,Series A,Oct-20
Loyal,United States,B2B Software,12500000,Series A,Oct-20
Slintel,United States,B2B Software,4200000,Series A,Oct-20
Intellimize,United States,B2B Software,12000000,Series A,Oct-20
Pulley,United States,B2B Software,10000000,Series A,Oct-20
Strider,United States,B2B Software,10000000,Series A,Oct-20
Theta Lake,United States,B2B Software,12700000,Series A,Oct-20
Kandji,United States,B2B Software,21000000,Series A,Oct-20
Skilljar,United States,B2B Software,33000000,Series B,Oct-20
FOSSA,United States,B2B Software,23200000,Series B,Oct-20
Retool,United States,B2B Software,50000000,Series B,Oct-20
Rockset,United States,B2B Software,40000000,Series B,Oct-20
Panoply,United States,B2B Software,10000000,Series B,Oct-20
Unqork,United States,B2B Software,207000000,Series C,Oct-20
SimilarWeb,United States,B2B Software,120000000,Series F,Oct-20
Transmute,United States,Blockchain,2000000,Seed,Oct-20
Figment,United States,Blockchain,2500000,Seed,Oct-20
Nabis,United States,Cannabis,5000000,Series A,Oct-20
Coiled,United States,Cloud Computing,5000000,Seed,Oct-20
Macrometa,United States,Cloud Computing,7000000,Seed,Oct-20
Render,United States,Cloud Computing,4500000,Seed,Oct-20
Yotascale,United States,Cloud Computing,13000000,Series B,Oct-20
Armory,United States,Cloud Computing,40000000,Series C,Oct-20
Vectrix.io,United States,Cloud Security,2000000,Seed,Oct-20
Sonrai Security,United States,Cloud Security,20000000,Series B,Oct-20
FingerprintJS,United States,Cyber Security,4000000,Seed,Oct-20
Secureframe,United States,Cyber Security,4500000,Seed,Oct-20
Stairwell,United States,Cyber Security,4520000,Seed,Oct-20
NormShield,United States,Cyber Security,7500000,Series A,Oct-20
Sym,United States,Cyber Security,9000000,Series A,Oct-20
StackHawk,United States,Cyber Security,10000000,Series A,Oct-20
deepwatch,United States,Cyber Security,53000000,Series B,Oct-20
Shipa,United States,Developer Tools,3750000,Seed,Oct-20
Pixie Labs,United States,Developer Tools,9150000,Series A,Oct-20
Temporal,United States,Developer Tools,18750000,Series A,Oct-20
Argyle,United States,Developer Tools,20000000,Series A,Oct-20
Human API,United States,Developer Tools,20000000,Series C,Oct-20
Faire,United States,E-Commerce,170000000,Series E,Oct-20
Shogun,United States,E-Commerce Platform,35000000,Series B,Oct-20
Fabric,United States,E-Commerce Platform,9500000,Seed,Oct-20
Extend,United States,E-Commerce Platform,40000000,Series B,Oct-20
Edlyft,United States,Education,1400000,Seed,Oct-20
Nivelo,United States,Finance,2500000,Seed,Oct-20
NowPay,United States,Finance,2100000,Seed,Oct-20
Finmark,United States,Finance,5000000,Seed,Oct-20
Payrix,United States,Finance,50000000,Series A,Oct-20
Wise,United States,Finance,12000000,Series A,Oct-20
AccessFintech,United States,Finance,20000000,Series B,Oct-20
Finexio,United States,Finance,23000000,Series B,Oct-20
M1 Finance,United States,Finance,45000000,Series C,Oct-20
Tipalti,United States,Finance,150000000,Series E,Oct-20
Chargebee,United States,Finance,55000000,Series F,Oct-20
Ordermark,United States,Food and Beverage,120000000,Series C,Oct-20
Rune Labs,United States,Health Care,5000000,Seed,Oct-20
ScriptDrop,United States,Health Care,15000000,Series A,Oct-20
Priori,United States,Legal,6300000,Series A,Oct-20
Onfleet,United States,Logistics,14000000,Series A,Oct-20
Glimpse,United States,Marketing,1503120,Seed,Oct-20
Brandzooka,United States,Marketing,5600000,Series A,Oct-20
Welcome Homes,United States,Real Estate,5350000,Seed,Oct-20
Neocis,United States,Robotics,72000000,Series D,Oct-20
Walnut,United States,Sales,2500000,Seed,Oct-20
Immerse,United States,Virtual Reality,1500000,Series A,Oct-20
TVision,United States,Advertising,16000000,Unknown,Nov-20
Kobiton,United States,Artificial Intelligence,14000000,Series A,Nov-20
Ushur,United States,Artificial Intelligence,25000000,Series B,Nov-20
OthersideAI,United States,Artificial Intelligence,2600000,Seed,Nov-20
DataRobot,United States,Artificial Intelligence,270000000,Series F,Nov-20
Verbit.ai,United States,Artificial Intelligence,60000000,Series C,Nov-20
Serenade,United States,Artificial Intelligence,2100000,Seed,Nov-20
Altana Trade,United States,Artificial Intelligence,7000000,Seed,Nov-20
Lunewave,United States,Artificial Intelligence,7000000,Series A,Nov-20
Nuro,United States,Autonomous Vehicles,500000000,Series C,Nov-20
Stensul,United States,B2B Software,16000000,Series B,Nov-20
doDOC,United States,B2B Software,500000,Seed,Nov-20
Demoflow,United States,B2B Software,1600000,Seed,Nov-20
Fishtown Analytics,United States,B2B Software,29500000,Series B,Nov-20
JumpCloud,United States,B2B Software,75000000,Series E,Nov-20
Mobilewalla,United States,B2B Software,Unknown,Seed,Nov-20
Hypotenuse,United States,B2B Software,Unknown,Seed,Nov-20
ControlUp,United States,B2B Software,27000000,Series C,Nov-20
OpenPhone,United States,B2B Software,14000000,Series A,Nov-20
ActivTrak,United States,B2B Software,50000000,Series B,Nov-20
ZenBusiness,United States,B2B Software,55000000,Series B,Nov-20
Superpeer,United States,B2B Software,8000000,Seed,Nov-20
Boulevard,United States,B2B Software,27000000,Series B,Nov-20
Pensando,United States,Cloud Computing,Unknown,Unknown,Nov-20
Azion,United States,Cloud Computing,Unknown,Unknown,Nov-20
PingCAP,United States,Cloud Computing,270000000,Series D,Nov-20
Isovalent,United States,Cloud Security,29000000,Series A,Nov-20
SentinelOne,United States,Cyber Security,267000000,Series F,Nov-20
Digify,United States,Cyber Security,Unknown,Seed,Nov-20
Abnormal Security,United States,Cyber Security,50000000,Series B,Nov-20
Klaviyo,United States,E-Commerce Software,200000000,Series C,Nov-20
MeUndies,United States,E-Commerce Store,40000000,Series C,Nov-20
Udacity,United States,Education,75000000,Debt Financing,Nov-20
CAIS,United States,Finance,50000000,Series B,Nov-20
Charityvest,United States,Finance,2300000,Seed,Nov-20
Productfy,United States,Finance,2350000,Seed,Nov-20
HMBradley,United States,Finance,18250000,Series A,Nov-20
Truebill,United States,Finance,17000000,Series C,Nov-20
Level,United States,Finance,Unknown,Grant,Nov-20
Heads Up,United States,Health Care,1300000,Seed,Nov-20
Well Health,United States,Health Care,45000000,Series C,Nov-20
Resilience,United States,Health Care,750000000,Series B,Nov-20
Gatik,United States,Logistics,25000000,Series A,Nov-20
Uhuru Design,United States,Product Design,6900000,Private Equity,Nov-20
HOVER,United States,Real Estate,60000000,Series D,Nov-20
Push Party,United States,Social Network,Unknown,Seed,Nov-20
Vimeo,United States,Video,150000000,Private Equity,Nov-20
Strava,United States,Wellness,110000000,Series F,Nov-20
Blueprint Stats,United States,Cloud Computing,100000,Seed,Jan-21
Juphy,United States,B2B Software,101334,Seed,Jan-21
Allobee,United States,B2B Software,500000,Seed,Jan-21
ZeroEyes,United States,Artificial Intelligence,1000000,Seed,Jan-21
Bookkeeper360,United States,Recruiting,1000000,Seed,Jan-21
Axiom Cloud,United States,Energy,1100000,Seed,Jan-21
Clover,United States,B2B Software,1120000,Seed,Jan-21
Kriptos,United States,Artificial Intelligence,1250000,Seed,Jan-21
Getkart,United States,E-Commerce Store,1250000,Seed,Jan-21
Goodfynd,United States,Food and Beverage,1500000,Seed,Jan-21
Backtracks,United States,Artificial Intelligence,1600000,Seed,Jan-21
Dadventures,United States,Community,2000000,Seed,Jan-21
Roboflow,United States,Cloud Computing,2100000,Seed,Jan-21
S'More Date,United States,Social Network,2100000,Seed,Jan-21
Doorvest,United States,Real Estate,2500000,Seed,Jan-21
Kanarys,United States,Human Resources,3000000,Seed,Jan-21
GoodJob,United States,Recruiting,3000000,Seed,Jan-21
Human AI,United States,Artificial Intelligence,3200000,Seed,Jan-21
Sprockets,United States,Recruiting,3400000,Seed,Jan-21
Openbase,United States,Investing,3600000,Seed,Jan-21
Teamflow,United States,B2B Software,3900000,Seed,Jan-21
Goalsetter,United States,Finance,3900000,Seed,Jan-21
Bbot,United States,Finance,4000000,Seed,Jan-21
Saddle Finance,United States,Blockhain,4300000,Seed,Jan-21
Opal,United States,Cyber Security,430000,Seed,Jan-21
Preciate,United States,B2B Software,4600000,Seed,Jan-21
Preemadonna,United States,E-Commerce Store,5600000,Seed,Jan-21
Unfolded,United States,B2B Software,6000000,Seed,Jan-21
Abound,United States,Finance,6000000,Seed,Jan-21
Bear Flag Robotics,United States,Robotics,7900000,Seed,Jan-21
Kyte,United States,Automotive,9000000,Seed,Jan-21
Gig Wage,United States,B2B Software,2500000,Series A,Jan-21
Paubox,United States,B2B Software,4000000,Series A,Jan-21
"NarrativeWave, Inc.",United States,B2B Software,4500000,Series A,Jan-21
Dina Care,United States,Artificial Intelligence,7000000,Series A,Jan-21
Arbol,United States,Insurance,7000000,Series A,Jan-21
Yac,United States,B2B Software,7500000,Series A,Jan-21
Gainful,United States,Wellness,7500000,Series A,Jan-21
CybSafe,United States,Cyber Security,7643266,Series A,Jan-21
Verusen,United States,Artificial Intelligence,8000000,Series A,Jan-21
SafetyWing,United States,Insurance,8000000,Series A,Jan-21
Uplifting Results Labs,United States,Wellness,8200000,Series A,Jan-21
Arca,United States,Investing,10000000,Series A,Jan-21
SamCart,United States,Marketplace,10000000,Series A,Jan-21
Monument,United States,Community,10300000,Series A,Jan-21
Outer,United States,E-Commerce Store,10500000,Series A,Jan-21
Curtsy,United States,Marketplace,11000000,Series A,Jan-21
Vectorized,United States,B2B Software,12500000,Series A,Jan-21
Valtix,United States,Cyber Security,12500000,Series A,Jan-21
Raydiant,United States,B2B Software,13000000,Series A,Jan-21
Quantum Xchange,United States,Cyber Security,13500000,Series A,Jan-21
Rho Business Banking,United States,Finance,15000000,Series A,Jan-21
CookUnity,United States,Food and Beverage,15500000,Series A,Jan-21
Molecula,United States,Artificial Intelligence,17600000,Series A,Jan-21
Nacelle,United States,B2B Software,18000000,Series A,Jan-21
New Wave Foods,United States,Food and Beverage,18000000,Series A,Jan-21
DecisionLink,United States,Cloud Computing,18500000,Series A,Jan-21
StackPulse,United States,Cloud Computing,20000000,Series A,Jan-21
Trovata,United States,Finance,20000000,Series A,Jan-21
Calibrate,United States,Wellness,22500000,Series A,Jan-21
SetSail,United States,B2B Software,26000000,Series A,Jan-21
Air Protein,United States,Food and Beverage,32000000,Series A,Jan-21
Brigit,United States,Finance,35000000,Series A,Jan-21
Calendly,United States,B2B Software,350000000,Series A,Jan-21
Mission Secure,United States,Cyber Security,5600000,Series B,Jan-21
dv01,United States,Investing,6000000,Series B,Jan-21
dYdX,United States,Blockchain,10000000,Series B,Jan-21
Thistle,United States,Food and Beverage,10300000,Series B,Jan-21
Own Up,United States,Real Estate,12000000,Series A,Jan-21
Lumiata,United States,Artificial Intelligence,14000000,Series B,Jan-21
Syndio Solutions,United States,Human Resources,17100000,Series B,Jan-21
Physna,United States,3D,20000000,Series B,Jan-21
OpenDrives,United States,B2B Software,20000000,Series B,Jan-21
Span.IO,United States,Energy,20000000,Series B,Jan-21
Neat Capital,United States,Finance,22500000,Series B,Jan-21
Playvox,United States,Human Resources,25000000,Series B,Jan-21
Descript,United States,Audio,30000000,Series B,Jan-21
Gtmhub,United States,B2B Software,30000000,Series B,Jan-21
Check Technologies,United States,Finance,35000000,Series B,Jan-21
Modern Treasury,United States,Finance,3800000,Series B,Jan-21
Literati,United States,Education,40000000,Series B,Jan-21
Chronosphere,United States,Cloud Computing,43400000,Series B,Jan-21
AMP Robotics,United States,Artificial Intelligence,55000000,Series B,Jan-21
You & Mr Jones,United States,Investing,60000000,Series B,Jan-21
Fast,United States,E-Commerce Store,102000000,Series B,Jan-21
SimpleNexus,United States,Finance,108000000,Series B,Jan-21
iboss,United States,Cyber Security,145000000,Series B,Jan-21
Quantum Metric,United States,B2B Software,200000000,Series B,Jan-21
FLEXE,United States,Logistics,10000000,Series C,Jan-21
AppDetex,United States,Cyber Security,12200000,Series C,Jan-21
Usermind,United States,Cloud Computing,14000000,Series C,Jan-21
AppOnboard,United States,Gaming,20000000,Series C,Jan-21
Roostify,United States,Finance,32000000,Series C,Jan-21
Airspace Technologies,United States,Aerospace,38000000,Series C,Jan-21
Sitetracker,United States,B2B Software,42000000,Series C,Jan-21
FreeWire Technologies,United States,Energy,50000000,Series C,Jan-21
Hipcamp,United States,Travel,57000000,Series C,Jan-21
Pilot,United States,Finance,60000000,Series C,Jan-21
Booksy,United States,Wellness,70000000,Series C,Jan-21
Citizen,United States,Social Network,72687675,Series C,Jan-21
Glia,United States,B2B Software,78000000,Series C,Jan-21
M-Files,United States,Human Resources,81797993,Series C,Jan-21
Starburst Data,United States,B2B Software,100000000,Series C,Jan-21
Albert,United States,Finance,100000000,Series C,Jan-21
Melio,United States,Finance,110000000,Series C,Jan-21
News Break,United States,Media,115000000,Series C,Jan-21
Sidecar Health,United States,Insurance,125000000,Series C,Jan-21
MX Technologies,United States,Finance,300000000,Series C,Jan-21
Quali,United States,Cloud Computing,54000000,Series D,Jan-21
SOCi,United States,B2B Software,80000000,Series D,Jan-21
Workato,United States,B2B Software,110000000,Series D,Jan-21
Volta Charging,United States,Energy,125000000,Series D,Jan-21
Dremio,United States,Cloud Computing,135000000,Series D,Jan-21
Divvy,United States,Finance,165000000,Series D,Jan-21
OwnBackup,United States,Cloud Computing,167500000,Series D,Jan-21
Lacework,United States,Cloud Computing,525000000,Series D,Jan-21
JumpCloud,United States,Cloud Computing,25000000,Series E,Jan-21
Splashtop,United States,B2B Software,50000000,Series E,Jan-21
SalesLoft,United States,B2B Software,100000000,Series E,Jan-21
Bloomreach,United States,E-Commerce Software,150000000,Series E,Jan-21
TripActions,United States,Travel,155000,Series E,Jan-21
Cockroach Labs,United States,Cloud Computing,160000000,Series E,Jan-21
Sila Nanotechnologies,United States,Energy,590000000,Series F,Jan-21
Blend,United States,Finance,300000000,Series G,Jan-21
Roblox,United States,3D,520000000,Series H,Jan-21
Axiom Space,United States,Aerospace,130000000,Series B,Feb-21
Pairwise Plants,United States,Agriculture,90000000,Series B,Feb-21
Latitude,United States,Artificial Intelligence,3300000,Seed,Feb-21
Krisp,United States,Artificial Intelligence,9000000,Series A,Feb-21
TigerGraph,United States,Artificial Intelligence,105000000,Series C,Feb-21
Standard Cognition,United States,Artificial Intelligence,150000000,Series C,Feb-21
Labelbox,United States,Artificial Intelligence,40000000,Series C,Feb-21
Mai,United States,Artificial Intelligence,5000000,Series A,Feb-21
Deepgram,United States,Artificial Intelligence,25000000,Series B,Feb-21
Pony.ai,United States,Artificial Intelligence,100000000,Series C,Feb-21
Electric,United States,Artificial Intelligence,40000000,Series C,Feb-21
Pubinno,United States,Artificial Intelligence,1000000,Seed,Feb-21
Repl.it,United States,B2B Software,20000000,Series A,Feb-21
Otter.ai,United States,B2B Software,50000000,Series B,Feb-21
Circle,United States,B2B Software,4000000,Seed,Feb-21
Terminus,United States,B2B Software,90000000,Series C,Feb-21
Prefect,United States,B2B Software,11500000,Series A,Feb-21
Highspot,United States,B2B Software,200000000,Series E,Feb-21
Touchcast,United States,B2B Software,55000000,Series A,Feb-21
RapidSOS,United States,B2B Software,85000000,Series C,Feb-21
Leadspace,United States,B2B Software,46000000,Series D,Feb-21
Lusha Systems,United States,B2B Software,40000000,Series A,Feb-21
Lob,United States,B2B Software,50000000,Series C,Feb-21
Hubilo,United States,B2B Software,23500000,Series A,Feb-21
Swift Navigation,United States,B2B Software,50000000,Series C,Feb-21
Blueshift,United States,B2B Software,30000000,Series C,Feb-21
Rheaply,United States,B2B Software,8000000,Series A,Feb-21
